impl,work,threads,nkeys,keyspace,ops,rep,seconds,ops_per_sec
coarse,lookup,1,1000000,2000000,2000000,1,0.434868,4.59909e+06
coarse,lookup,1,1000000,2000000,2000000,2,0.38146,5.24302e+06
striped,lookup,1,1000000,2000000,2000000,0,0.378057,5.2902e+06
striped,lookup,1,1000000,2000000,2000000,1,0.354652,5.63933e+06
striped,lookup,1,1000000,2000000,2000000,2,0.372689,5.3664e+06
coarse,lookup,2,1000000,2000000,2000000,0,0.603027,3.3166e+06
coarse,lookup,2,1000000,2000000,2000000,1,0.604577,3.3081e+06
coarse,lookup,2,1000000,2000000,2000000,2,0.558257,3.58258e+06
striped,lookup,2,1000000,2000000,2000000,0,0.216627,9.23244e+06
striped,lookup,2,1000000,2000000,2000000,1,0.232241,8.61175e+06
striped,lookup,2,1000000,2000000,2000000,2,0.201966,9.90264e+06
coarse,lookup,4,1000000,2000000,2000000,0,0.911525,2.19412e+06
coarse,lookup,4,1000000,2000000,2000000,1,0.862383,2.31916e+06
coarse,lookup,4,1000000,2000000,2000000,2,0.941635,2.12397e+06
striped,lookup,4,1000000,2000000,2000000,0,0.148295,1.34866e+07
striped,lookup,4,1000000,2000000,2000000,1,0.145231,1.37712e+07
striped,lookup,4,1000000,2000000,2000000,2,0.156307,1.27953e+07
coarse,lookup,8,1000000,2000000,2000000,0,1.20965,1.65337e+06
coarse,lookup,8,1000000,2000000,2000000,1,1.00579,1.98849e+06
coarse,lookup,8,1000000,2000000,2000000,2,1.04693,1.91036e+06
striped,lookup,8,1000000,2000000,2000000,0,0.112737,1.77404e+07
striped,lookup,8,1000000,2000000,2000000,1,0.116163,1.72172e+07
striped,lookup,8,1000000,2000000,2000000,2,0.121288,1.64897e+07
coarse,lookup,16,1000000,2000000,2000000,0,1.34271,1.48953e+06
coarse,lookup,16,1000000,2000000,2000000,1,1.29093,1.54927e+06
coarse,lookup,16,1000000,2000000,2000000,2,1.22859,1.62789e+06
striped,lookup,16,1000000,2000000,2000000,0,0.0994108,2.01185e+07
striped,lookup,16,1000000,2000000,2000000,1,0.0915556,2.18446e+07
striped,lookup,16,1000000,2000000,2000000,2,0.100147,1.99706e+07
coarse,insert,1,1000000,2000000,2000000,0,0.535652,3.73377e+06
coarse,insert,1,1000000,2000000,2000000,1,0.573612,3.48668e+06
coarse,insert,1,1000000,2000000,2000000,2,0.468821,4.26602e+06
striped,insert,1,1000000,2000000,2000000,0,0.496263,4.03012e+06
striped,insert,1,1000000,2000000,2000000,1,0.544658,3.67203e+06
striped,insert,1,1000000,2000000,2000000,2,0.509469,3.92566e+06
coarse,insert,2,1000000,2000000,2000000,0,0.985424,2.02958e+06
coarse,insert,2,1000000,2000000,2000000,1,0.993912,2.01225e+06
coarse,insert,2,1000000,2000000,2000000,2,0.921207,2.17106e+06
striped,insert,2,1000000,2000000,2000000,0,0.371621,5.38183e+06
striped,insert,2,1000000,2000000,2000000,1,0.396047,5.0499e+06
striped,insert,2,1000000,2000000,2000000,2,0.403164,4.96077e+06
coarse,insert,4,1000000,2000000,2000000,0,1.63152,1.22585e+06
coarse,insert,4,1000000,2000000,2000000,1,1.50416,1.32964e+06
coarse,insert,4,1000000,2000000,2000000,2,1.48739,1.34464e+06
striped,insert,4,1000000,2000000,2000000,0,0.390084,5.1271e+06
striped,insert,4,1000000,2000000,2000000,1,0.379722,5.26702e+06
striped,insert,4,1000000,2000000,2000000,2,0.343362,5.82476e+06
coarse,insert,8,1000000,2000000,2000000,0,1.77761,1.1251e+06
coarse,insert,8,1000000,2000000,2000000,1,1.74491,1.14619e+06
coarse,insert,8,1000000,2000000,2000000,2,1.71249,1.16789e+06
striped,insert,8,1000000,2000000,2000000,0,0.436356,4.58342e+06
striped,insert,8,1000000,2000000,2000000,1,0.446668,4.47759e+06
striped,insert,8,1000000,2000000,2000000,2,0.428612,4.66623e+06
coarse,insert,16,1000000,2000000,2000000,0,2.20133,908542
coarse,insert,16,1000000,2000000,2000000,1,2.17051,921444
coarse,insert,16,1000000,2000000,2000000,2,2.2562,886448
striped,insert,16,1000000,2000000,2000000,0,0.482783,4.14265e+06
striped,insert,16,1000000,2000000,2000000,1,0.490659,4.07615e+06
striped,insert,16,1000000,2000000,2000000,2,0.47524,4.2084e+06
coarse,mixed,1,1000000,2000000,2000000,0,0.468402,4.26984e+06
coarse,mixed,1,1000000,2000000,2000000,1,0.516065,3.87548e+06
coarse,mixed,1,1000000,2000000,2000000,2,0.451894,4.42582e+06
striped,mixed,1,1000000,2000000,2000000,0,0.468376,4.27008e+06
striped,mixed,1,1000000,2000000,2000000,1,0.544805,3.67104e+06
striped,mixed,1,1000000,2000000,2000000,2,0.509395,3.92622e+06
coarse,mixed,2,1000000,2000000,2000000,0,0.827204,2.41778e+06
coarse,mixed,2,1000000,2000000,2000000,1,0.808681,2.47316e+06
coarse,mixed,2,1000000,2000000,2000000,2,0.763353,2.62002e+06
striped,mixed,2,1000000,2000000,2000000,0,0.292436,6.8391e+06
striped,mixed,2,1000000,2000000,2000000,1,0.321303,6.22465e+06
striped,mixed,2,1000000,2000000,2000000,2,0.319581,6.2582e+06
coarse,mixed,4,1000000,2000000,2000000,0,1.32571,1.50862e+06
coarse,mixed,4,1000000,2000000,2000000,1,1.19926,1.66769e+06
coarse,mixed,4,1000000,2000000,2000000,2,1.19301,1.67643e+06
striped,mixed,4,1000000,2000000,2000000,0,0.21568,9.27301e+06
striped,mixed,4,1000000,2000000,2000000,1,0.241471,8.28258e+06
striped,mixed,4,1000000,2000000,2000000,2,0.244217,8.18944e+06
coarse,mixed,8,1000000,2000000,2000000,0,1.38676,1.44221e+06
coarse,mixed,8,1000000,2000000,2000000,1,1.34944,1.48209e+06
coarse,mixed,8,1000000,2000000,2000000,2,1.29472,1.54474e+06
striped,mixed,8,1000000,2000000,2000000,0,0.198563,1.00724e+07
striped,mixed,8,1000000,2000000,2000000,1,0.204165,9.796e+06
striped,mixed,8,1000000,2000000,2000000,2,0.214724,9.31428e+06
coarse,mixed,16,1000000,2000000,2000000,0,1.83849,1.08785e+06
coarse,mixed,16,1000000,2000000,2000000,1,1.63463,1.22352e+06
coarse,mixed,16,1000000,2000000,2000000,2,1.63484,1.22336e+06
striped,mixed,16,1000000,2000000,2000000,0,0.184918,1.08156e+07
striped,mixed,16,1000000,2000000,2000000,1,0.213894,9.35042e+06
striped,mixed,16,1000000,2000000,2000000,2,0.181975,1.09905e+07
